date,decision,entry_time,entry_price,SL,TP,exit_time,exit_price,exit_reason,pnl_pts,pnl_usd,notes
2020-01-03,long,10:22,8798.09,8773.09,8873.09,12:00:00,8820.81,time,22.719999999999345,1817.5999999999476,Conservative tie-break; checks start after entry bar.
2020-01-06,long,10:22,8798.25,8773.25,8873.25,12:00:00,8805.49,time,7.239999999999782,579.1999999999825,Conservative tie-break; checks start after entry bar.
2020-01-07,long,10:22,8852.84,8827.84,8927.84,10:32:00,8827.84,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-01-08,long,10:22,8871.6,8846.6,8946.6,10:48:00,8846.6,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-01-09,none,10:22,8989.72,,,10:22,8989.72,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-10,none,10:22,9011.06,,,10:22,9011.06,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-13,long,10:22,9010.79,8985.79,9085.79,12:00:00,9043.9,time,33.10999999999876,2648.799999999901,Conservative tie-break; checks start after entry bar.
2020-01-14,none,10:22,9050.9,,,10:22,9050.9,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-15,long,10:22,9061.09,9036.09,9136.09,12:00:00,9060.88,time,-0.21000000000094587,-16.80000000007567,Conservative tie-break; checks start after entry bar.
2020-01-16,long,10:22,9092.31,9067.31,9167.31,11:16:00,9067.31,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-01-17,none,10:22,9144.56,,,10:22,9144.56,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-20,long,10:22,9157.75,9132.75,9232.75,12:00:00,9161.43,time,3.680000000000291,294.4000000000233,Conservative tie-break; checks start after entry bar.
2020-01-21,none,10:22,9154.1,,,10:22,9154.1,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-22,long,10:22,9224.81,9199.81,9299.81,12:00:00,9218.38,time,-6.430000000000291,-514.4000000000233,Conservative tie-break; checks start after entry bar.
2020-01-23,long,10:22,9182.07,9157.07,9257.07,12:00:00,9181.18,time,-0.8899999999994179,-71.19999999995343,Conservative tie-break; checks start after entry bar.
2020-01-24,short,10:22,9236.69,9261.69,9161.69,12:00:00,9193.65,time,43.04000000000087,3443.20000000007,Conservative tie-break; checks start after entry bar.
2020-01-27,long,10:22,8960.33,8935.33,9035.33,11:20:00,8935.33,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-01-28,long,10:22,9022.19,8997.19,9097.19,12:00:00,9085.96,time,63.76999999999862,5101.599999999889,Conservative tie-break; checks start after entry bar.
2020-01-29,short,10:22,9085.15,9110.15,9010.15,11:00:00,9110.15,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-01-30,none,10:22,9070.78,,,10:22,9070.78,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-01-31,short,10:22,9090.85,9115.85,9015.85,11:16:00,9015.85,tp,75.0,6000.0,Conservative tie-break; checks start after entry bar.
2020-02-03,long,10:22,9132.72,9107.72,9207.72,11:41:00,9107.72,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
2020-02-04,none,10:22,9249.3,,,10:22,9249.3,no_trade,0.0,0.0,Middle zone at 10:22; no position.
2020-02-05,short,10:22,9366.51,9391.51,9291.51,12:00:00,9353.83,time,12.680000000000291,1014.4000000000233,Conservative tie-break; checks start after entry bar.
2020-02-06,long,10:22,9388.35,9363.35,9463.35,12:00:00,9421.3,time,32.94999999999891,2635.9999999999127,Conservative tie-break; checks start after entry bar.
2020-02-07,long,10:22,9409.37,9384.37,9484.37,12:00:00,9440.59,time,31.219999999999345,2497.5999999999476,Conservative tie-break; checks start after entry bar.
2020-02-10,long,10:22,9450.29,9425.29,9525.29,12:00:00,9466.68,time,16.389999999999418,1311.1999999999534,Conservative tie-break; checks start after entry bar.
2020-02-11,long,10:22,9580.17,9555.17,9655.17,11:38:00,9555.17,sl,-25.0,-2000.0,Conservative tie-break; checks start after entry bar.
